id_m,id_s
n647,s738-1
n648,s734-1
n650,s739-1
n652,s740-1
n653,s735-1
n655,s741-1
n654,s736-1
n656,s742-1
n657,s743-1
n659,s747-1
n658,s744-1
n660,s748-1
n661,s749-1
n663,s750-1
n662,s745-1
n664,s751-1
n666,s752-1
n665,s746-1
n668,s756-1
n667,s753-1
n669,s757-1
n671,s758-1
n670,s754-1
n672,s759-1
n673,s755-1
n674,s760-1
n675,s761-1
n677,s766-1
n676,s762-1
n678,s767-1
n680,s768-1
n679,s763-1
n682,s769-1
n681,s764-1
n683,s770-1
n684,s771-1
n685,s765-1
n687,s776-1
n686,s772-1
n688,s777-1
n689,s778-1
n691,s779-1
n690,s773-1
n692,s780-1
n693,s781-1
n695,s786-1
n694,s782-1
n696,s787-1
n697,s788-1
n698,s789-1
n700,s790-1
n699,s784-1
n702,s791-1
n701,s785-1
n703,s796-1
n704,s792-1
n705,s797-1
n706,s798-1
n707,s793-1
n709,s799-1
n708,s794-1
n710,s800-1
n711,s801-1
n713,s806-1
n712,s802-1
n714,s807-1
n715,s808-1
n716,s809-1
n718,s810-1
n717,s804-1
n720,s811-1
n719,s805-1
n722,s817-1
n721,s812-1
n723,s818-1
n724,s819-1
n725,s813-1
n726,s814-1
n727,s820-1
n728,s815-1
n729,s821-1
n730,s822-1
n732,s827-1
n731,s823-1
n733,s828-1
n734,s829-1
n735,s830-1
n736,s831-1
n737,s825-1
n739,s832-1
n738,s826-1
n740,s836-1
n741,s833-1
n742,s837-1
n743,s838-1
n745,s839-1
n744,s834-1
n746,s840-1
n748,s841-1
n747,s835-1
n750,s846-1
n749,s842-1
n751,s847-1
n752,s848-1
n756,s849-1
n754,s844-1
n755,s845-1
n753,s843-1
n757,s850-1
n758,s851-1
n760,s864-1
n759,s865-1
n761,s852-1
n762,s853-1
n763,s854-1
n764,s855-1
n765,s856-1
n766,s857-1
n768,s867-1
n767,s858-1
n769,s859-1
n770,s868-1
n771,s860-1
n772,s861-1
n773,s869-1
n774,s862-1
n775,s863-1
n776,s882-1
n777,s870-1
n778,s871-1
n779,s872-1
n780,s873-1
n781,s874-1
n782,s875-1
n784,s884-1
n783,s876-1
n785,s877-1
n786,s885-1
n787,s878-1
n788,s879-1
n790,s886-1
n789,s880-1
n791,s881-1
n792,s899-1
n793,s887-1
n794,s888-1
n795,s889-1
n796,s890-1
n797,s891-1
n798,s892-1
n799,s901-1
n800,s893-1
n801,s894-1
n802,s902-1
n803,s895-1
n804,s896-1
n805,s903-1
n806,s897-1
n807,s898-1
n809,s916-1
n808,s904-1
n810,s905-1
n811,s906-1
n812,s907-1
n813,s908-1
n814,s909-1
n815,s910-1
n816,s911-1
n817,s912-1
n818,s913-1
n819,s914-1
n820,s915-1
n821,s920-1
n822,s921-1
n823,s922-1
n824,s923-1
n825,s924-1
n826,s925-1
n827,s926-1
n828,s927-1
n829,s928-1
n830,s929-1
n831,s930-1
n832,s931-1
n833,s933-1
n834,s934-1
n835,s938-1
n836,s939-1
n838,s940-1
n839,s935-1
n837,s936-1
n840,s941-1
n841,s942-1
n843,s943-1
n842,s944-1
n844,s948-1
n845,s949-1
n848,s950-1
n846,s945-1
n847,s946-1
n849,s951-1
n850,s952-1
n851,s959-1
n852,s954-1
n853,s955-1
n854,s962-1
n855,s957-1
n856,s958-1
n860,s972-1
n859,s970-1
n858,s965-1
n857,s966-1
n863,s971-1
n862,s968-1
n864,s969-1
n861,s967-1
n867,s989-1
n866,s985-1
n865,s973-1
n868,s974-1
n869,s975-1
n870,s976-1
n871,s977-1
n872,s978-1
n873,s986-1
n874,s979-1
n875,s980-1
n876,s987-1
n877,s981-1
n878,s982-1
n879,s988-1
n880,s983-1
n881,s984-1
n882,s1002-1
n883,s990-1
n884,s991-1
n885,s992-1
n886,s993-1
n888,s994-1
n889,s995-1
n891,s1004-1
n890,s996-1
n892,s997-1
n894,s1005-1
n893,s998-1
n895,s999-1
n896,s1006-1
n897,s1000-1
n898,s1001-1
n899,s1019-1
n900,s1007-1
n901,s1008-1
n902,s1009-1
n903,s1010-1
n904,s1011-1
n905,s1012-1
n907,s1021-1
n906,s1013-1
n908,s1014-1
n909,s1022-1
n910,s1015-1
n911,s1016-1
n913,s1023-1
n912,s1017-1
n914,s1018-1
n915,s1036-1
n916,s1024-1
n917,s1025-1
n918,s1026-1
n919,s1027-1
n920,s1028-1
n921,s1029-1
n922,s1030-1
n923,s1031-1
n924,s1032-1
n925,s1033-1
n926,s1034-1
n927,s1035-1
n928,s1040-1
n929,s1041-1
n930,s1042-1
n931,s1043-1
n932,s1044-1
n933,s1045-1
n934,s1046-1
n935,s1047-1
n936,s1048-1
n937,s1049-1
n938,s1050-1
n939,s1051-1
n940,s1053-1
n941,s1054-1
n942,s1058-1
n943,s1059-1
n946,s1060-1
n945,s1055-1
n944,s1056-1
n947,s1061-1
n948,s1062-1
n950,s1063-1
n949,s1064-1
n951,s1068-1
n952,s1069-1
n955,s1070-1
n954,s1065-1
n953,s1066-1
n956,s1071-1
n957,s1072-1
n958,s1079-1
n959,s1074-1
n960,s1075-1
n961,s1082-1
n962,s1077-1
n963,s1078-1
n966,s1088-1
n964,s1089-1
n967,s1087-1
n965,s1085-1
n971,s1090-1
n970,s1091-1
n969,s1086-1
n972,s1104-1
n973,s1092-1
n974,s1093-1
n976,s1105-1
n975,s1094-1
n977,s1095-1
n979,s1106-1
n978,s1096-1
n980,s1097-1
n982,s1107-1
n981,s1098-1
n983,s1099-1
n985,s1108-1
n984,s1100-1
n986,s1101-1
n988,s1109-1
n987,s1102-1
n989,s1103-1
n991,s1116-1
n990,s1110-1
n992,s1117-1
n993,s1118-1
n997,s1119-1
n995,s1115-1
n996,s1112-1
n994,s1111-1
n998,s1120-1
n999,s1121-1
n1000,s1114-1
n1001,s1134-1
n1002,s1135-1
n1003,s1122-1
n1004,s1123-1
n1005,s1124-1
n1006,s1125-1
n1007,s1126-1
n1008,s1127-1
n1011,s1137-1
n1009,s1138-1
n1010,s1139-1
n1012,s1128-1
n1013,s1129-1
n1014,s1130-1
n1015,s1131-1
n1016,s1132-1
n1017,s1133-1
n1018,s1153-1
n1019,s1154-1
n1020,s1141-1
n1021,s1142-1
n1022,s1143-1
n1023,s1144-1
n1024,s1145-1
n1025,s1146-1
n1029,s1156-1
n1028,s1157-1
n1027,s1158-1
n1026,s1147-1
n1030,s1148-1
n1031,s1149-1
n1032,s1150-1
n1033,s1151-1
n1034,s1152-1
n1036,s1172-1
n1037,s1173-1
n1035,s1160-1
n1038,s1161-1
n1039,s1162-1
n1040,s1163-1
n1041,s1164-1
n1042,s1165-1
n1046,s1175-1
n1045,s1176-1
n1044,s1177-1
n1043,s1166-1
n1047,s1167-1
n1048,s1168-1
n1049,s1169-1
n1050,s1170-1
n1051,s1171-1
n1052,s1185-1
n1053,s1179-1
n1055,s1186-1
n1054,s1180-1
n1056,s1187-1
n1057,s1181-1
n1059,s1188-1
n1058,s1182-1
n1060,s1189-1
n1061,s1183-1
n1062,s1190-1
n1063,s1184-1
n1082,s13-2
n1085,s14-2
n1083,s15-2
n1084,s16-2
n1086,s2-2
n1087,s3-2
n1088,s4-2
n1089,s5-2
n1090,s6-2
n1091,s7-2
n1092,s8-2
n1093,s9-2
n1094,s10-2
n1095,s11-2
n1096,s12-2
n1097,s20-2
n1098,s21-2
n1099,s22-2
n1100,s23-2
n1101,s24-2
n1102,s25-2
n1103,s26-2
n1104,s27-2
n1105,s28-2
n1106,s29-2
n1107,s30-2
n1108,s31-2
n1109,s33-2
n1110,s34-2
n1111,s35-2
n1112,s36-2
n1113,s37-2
n1114,s38-2
n1116,s47-2
n1115,s39-2
n1117,s40-2
n1118,s48-2
n1119,s41-2
n1120,s42-2
n1121,s49-2
n1122,s43-2
n1123,s44-2
n1124,s62-2
n1125,s50-2
n1126,s51-2
n1127,s63-2
n1128,s52-2
n1129,s53-2
n1130,s64-2
n1131,s54-2
n1132,s55-2
n1133,s65-2
n1134,s56-2
n1135,s57-2
n1137,s66-2
n1136,s58-2
n1138,s59-2
n1140,s67-2
n1139,s60-2
n1141,s61-2
n1142,s80-2
n1143,s68-2
n1144,s69-2
n1145,s70-2
n1146,s71-2
n1148,s81-2
n1147,s72-2
n1149,s73-2
n1151,s82-2
n1150,s74-2
n1152,s75-2
n1153,s76-2
n1154,s77-2
n1155,s83-2
n1156,s78-2
n1157,s79-2
n1158,s94-2
n1159,s84-2
n1160,s85-2
n1161,s95-2
n1162,s86-2
n1163,s87-2
n1164,s96-2
n1165,s88-2
n1166,s89-2
n1167,s97-2
n1168,s90-2
n1169,s91-2
n1172,s112-2
n1173,s113-2
n1170,s114-2
n1171,s115-2
n1174,s101-2
n1175,s102-2
n1176,s103-2
n1177,s104-2
n1178,s105-2
n1180,s106-2
n1181,s107-2
n1182,s108-2
n1183,s109-2
n1184,s110-2
n1185,s111-2
n1186,s119-2
n1187,s120-2
n1188,s121-2
n1189,s122-2
n1190,s123-2
n1191,s124-2
n1192,s125-2
n1193,s126-2
n1194,s127-2
n1195,s128-2
n1196,s129-2
n1197,s130-2
n1198,s132-2
n1199,s133-2
n1200,s134-2
n1201,s135-2
n1202,s136-2
n1203,s137-2
n1204,s146-2
n1205,s138-2
n1206,s139-2
n1207,s147-2
n1208,s140-2
n1209,s141-2
n1210,s148-2
n1211,s142-2
n1212,s143-2
n1213,s161-2
n1214,s149-2
n1215,s150-2
n1216,s162-2
n1217,s151-2
n1218,s152-2
n1219,s163-2
n1220,s153-2
n1221,s154-2
n1222,s164-2
n1223,s155-2
n1224,s156-2
n1225,s165-2
n1226,s157-2
n1227,s158-2
n1228,s166-2
n1229,s159-2
n1230,s160-2
n1232,s179-2
n1231,s167-2
n1233,s168-2
n1234,s169-2
n1235,s170-2
n1237,s180-2
n1236,s171-2
n1238,s172-2
n1240,s181-2
n1239,s173-2
n1241,s174-2
n1242,s175-2
n1243,s176-2
n1244,s182-2
n1245,s177-2
n1246,s178-2
n1248,s191-2
n1247,s183-2
n1249,s184-2
n1250,s194-2
n1251,s187-2
n1252,s188-2
n1253,s206-2
n1254,s197-2
n1255,s198-2
n1256,s209-2
n1257,s210-2
n1258,s202-2
n1259,s203-2
n1260,s204-2
n1261,s205-2
n1265,s222-2
n1263,s223-2
n1264,s224-2
n1262,s213-2
n1266,s214-2
n1267,s215-2
n1268,s216-2
n1269,s217-2
n1270,s218-2
n1273,s225-2
n1271,s226-2
n1272,s219-2
n1274,s220-2
n1275,s221-2
n1278,s234-2
n1276,s229-2
n1277,s230-2
n1280,s235-2
n1279,s236-2
n1281,s237-2
n1282,s238-2
n1284,s239-2
n1283,s240-2
n1285,s241-2
n1286,s242-2
n1287,s232-2
n1289,s243-2
n1290,s244-2
n1288,s233-2
n1292,s248-2
n1293,s246-2
n1291,s245-2
n1294,s249-2
n1295,s250-2
n1297,s251-2
n1296,s252-2
n1299,s253-2
n1300,s254-2
n1298,s247-2
n1301,s255-2
n1302,s256-2
n1303,s257-2
n1304,s258-2
n1307,s263-2
n1305,s259a-2
n1306,s259-2
n1310,s264-2
n1309,s265-2
n1311,s266-2
n1312,s267-2
n1314,s268-2
n1313,s269-2
n1315,s270-2
n1317,s271-2
n1316,s261-2
n1319,s272-2
n1320,s273-2
n1318,s262-2
n1322,s278-2
n1324,s279-2
n1323,s280-2
n1325,s281-2
n1327,s282-2
n1329,s283-2
n1328,s284-2
n1330,s275-2
n1331,s285-2
n1332,s286-2
n1334,s287-2
n1333,s288-2
n1336,s294-2
n1335,s289-2
n1337,s290-2
n1338,s295-2
n1339,s296-2
n1340,s297-2
n1341,s298-2
n1342,s299-2
n1343,s300-2
n1346,s301-2
n1344,s302-2
n1345,s292-2
n1347,s303-2
n1349,s304-2
n1348,s293-2
n1351,s309-2
n1350,s305-2
n1354,s310-2
n1353,s311-2
n1357,s312-2
n1356,s313-2
n1355,s306-2
n1360,s314-2
n1359,s315-2
n1362,s316-2
n1361,s317-2
n1363,s318-2
n1364,s319-2
n1365,s308-2
n1366,s324-2
n1367,s325-2
n1368,s326-2
n1371,s327-2
n1370,s328-2
n1369,s321-2
n1373,s329-2
n1372,s330-2
n1374,s331-2
n1375,s332-2
n1376,s333-2
n1377,s334-2
n1378,s323-2
n1384,s343-2
n1383,s336-2
n1386,s344-2
n1385,s337-2
n1388,s345-2
n1387,s338-2
n1389,s346-2
n1390,s339-2
n1392,s353-2
n1391,s347-2
n1394,s354-2
n1393,s348-2
n1396,s355-2
n1395,s349-2
n1397,s356-2
n1398,s350-2
n1399,s357-2
n1400,s351-2
n1402,s358-2
n1401,s352-2
n1403,s359-2
n1407,s367-2
n1405,s368-2
n1404,s369-2
n1406,s370-2
n1408,s361-2
n1409,s362-2
n1410,s363-2
n1411,s364-2
n1412,s371-2
n1416,s372-2
n1417,s373-2
n1420,s383-2
n1419,s374-2
n1418,s375-2
n1423,s384-2
n1422,s376-2
n1421,s377-2
n1425,s385-2
n1424,s386-2
n1428,s387-2
n1427,s388-2
n1430,s401-2
n1429,s396-2
n1431,s402-2
n1432,s397-2
n1434,s403-2
n1433,s398-2
n1436,s404-2
n1435,s399-2
n1438,s411-2
n1437,s405-2
n1440,s412-2
n1439,s406-2
n1442,s413-2
n1441,s407-2
n1443,s414-2
n1444,s408-2
n1445,s415-2
n1446,s409-2
n1447,s416-2
n1448,s410-2
n1449,s417-2
n1451,s425-2
n1453,s426-2
n1450,s427-2
n1452,s428-2
n1454,s419-2
n1455,s420-2
n1456,s421-2
n1457,s422-2
n1460,s439-2
n1459,s440-2
n1458,s441-2
n1461,s429-2
n1462,s430-2
n1463,s431-2
n1464,s444-2
n1465,s445-2
n1466,s446-2
n1467,s434-2
n1468,s435-2
n1469,s436-2
n1472,s456-2
n1471,s454-2
n1470,s449-2
n1475,s455-2
n1474,s453-2
n1476,s451-2
n1473,s450-2
n1477,s452-2
n1479,s468-2
n1478,s462-2
n1480,s464-2
n1482,s465-2
n1481,s458-2
n1483,s469-2
n1485,s463-2
n1484,s459-2
n1486,s466-2
n1487,s460-2
n1489,s467-2
n1488,s461-2
n1491,s482-2
n1490,s476-2
n1492,s478-2
n1493,s471-2
n1494,s479-2
n1495,s472-2
n1497,s483-2
n1498,s477-2
n1496,s473-2
n1500,s480-2
n1499,s474-2
n1502,s481-2
n1501,s475-2
n1504,s494-2
n1503,s484-2
n1505,s490-2
n1506,s485-2
n1508,s491-2
n1507,s486-2
n1510,s495-2
n1509,s487-2
n1511,s492-2
n1512,s488-2
n1514,s493-2
n1513,s489-2
n1518,s501-2
n1517,s502-2
n1516,s496-2
n1515,s497-2
n1522,s507-2
n1521,s508-2
n1524,s509-2
n1523,s510-2
n1528,s516-2
n1527,s517-2
n1526,s512-2
n1525,s513-2
n1533,s518-2
n1532,s519-2
n1531,s514-2
n1530,s515-2
n1536,s525-2
n1537,s526-2
n1535,s520-2
n1534,s521-2
n1542,s527-2
n1541,s528-2
n1540,s522-2
n1538,s523-2
n1539,s524-2
n1544,s541-2
n1543,s529-2
n1545,s530-2
n1546,s542-2
n1547,s531-2
n1548,s532-2
n1549,s543-2
n1550,s533-2
n1551,s534-2
n1552,s544-2
n1553,s535-2
n1554,s536-2
n1555,s545-2
n1556,s537-2
n1557,s538-2
n1559,s546-2
n1558,s539-2
n1560,s540-2
n1561,s559-2
n1562,s547-2
n1563,s548-2
n1565,s560-2
n1564,s549-2
n1566,s550-2
n1567,s561-2
n1568,s551-2
n1569,s552-2
n1570,s562-2
n1571,s553-2
n1572,s554-2
n1574,s563-2
n1573,s555-2
n1575,s556-2
n1576,s564-2
n1577,s557-2
n1578,s558-2
n1579,s571-2
n1580,s565-2
n1581,s566-2
n1582,s567-2
n1583,s568-2
n1584,s569-2
n1585,s570-2
n1587,s581-2
n1586,s575-2
n1588,s576-2
n1589,s577-2
n1592,s582-2
n1591,s583-2
n1590,s578-2
n1593,s579-2
n1594,s580-2
n1597,s590-2
n1596,s591-2
n1595,s584-2
n1598,s585-2
n1599,s586-2
n1601,s592-2
n1602,s593-2
n1600,s594-2
n1603,s587-2
n1604,s588-2
n1605,s589-2
n1607,s607-2
n1606,s595-2
n1608,s596-2
n1610,s608-2
n1609,s597-2
n1611,s598-2
n1612,s609-2
n1613,s599-2
n1614,s600-2
n1615,s610-2
n1616,s601-2
n1617,s602-2
n1618,s611-2
n1619,s603-2
n1620,s604-2
n1622,s612-2
n1621,s605-2
n1623,s606-2
n1625,s625-2
n1624,s626-2
n1626,s627-2
n1627,s613-2
n1628,s614-2
n1629,s615-2
n1630,s616-2
n1631,s617-2
n1632,s618-2
